Bridge_id,Allele_id,Variant_id
B1,2,V45
B2,3,V45
B3,3,V9
B4,4,V7
B5,5,V6
B6,6,V25
B7,6,V56
B8,6,V89
B9,6,V101
B10,6,V111
B11,6,V123
B12,7,V45
B13,7,V1
B14,8,V9
B15,9,V61
B16,10,V45
B17,10,V61
B18,11,V45
B19,11,V57
B20,11,V9
B21,12,V23
B22,12,V45
B23,13,V22
B24,13,V45
B25,14,V14
B26,14,V57
B27,14,V9
B28,15,V45
B29,15,V105
B30,16,V10
B31,16,V12
B32,16,V13
B33,16,V45
B34,16,V9
B35,17,V38
B36,17,V45
B37,18,V45
B38,18,V103
B39,19,V45
B40,19,V112
B41,20,V45
B42,20,V123
B43,21,V128
B44,22,V123
B45,22,V9
B46,23,V124
B47,24,V45
B48,24,V60
B49,24,V9
B50,25,V122
B51,26,V45
B52,26,V122
B53,27,V45
B54,27,V107
B55,28,V38
B56,28,V45
B57,28,V9
B58,29,V31
B59,29,V45
B60,29,V9
B61,30,V17
B62,30,V45
B63,30,V9
B64,31,V102
B65,32,V141
B66,33,V51
B67,34,V45
B68,34,V77
B69,34,V9
B70,35,V18
B71,35,V25
B72,35,V47
B73,35,V56
B74,35,V116
B75,36,V46
B76,36,V10
B77,36,V12
B78,36,V18
B79,36,V45
B80,36,V9
B81,37,V113
B82,38,V55
B83,38,V102
B84,39,V45
B85,39,V69
B86,40,V26
B87,41,V45
B88,41,V98
B89,42,V35
B90,43,V15
B91,43,V45
B92,43,V9
B93,44,V19
B94,44,V45
B95,44,V9
B96,45,V30
B97,45,V45
B98,45,V9
B99,46,V42
B100,46,V45
B101,46,V9
B102,47,V45
B103,47,V79
B104,47,V9
B105,48,V45
B106,48,V80
B107,48,V9
B108,49,V45
B109,49,V82
B110,49,V9
B111,50,V45
B112,50,V103
B113,50,V9
B114,51,V45
B115,51,V105
B116,51,V9
B117,52,V45
B118,52,V123
B119,52,V9
B120,53,V45
B121,53,V57
B122,53,V9
B123,54,V57
B124,54,V9
B125,55,V143
B126,56,V27
B127,57,V87
B128,58,V87
B129,58,V93
B130,59,V25
B131,59,V87
B132,59,V93
B133,59,V111
B134,59,V123
B135,60,V87
B136,60,V93
B137,60,V111
B138,60,V123
B139,61,V144
B140,62,V45
B141,62,V65
B142,63,V45
B143,63,V123
B144,63,V1
B145,64,V45
B146,64,V125
B147,65,V79
B148,66,V139
B149,67,V41
B150,68,V37
B151,69,V50
B152,70,V33
B153,71,V45
B154,71,V134
B155,72,V45
B156,72,V102
B157,73,V34
B158,74,V16
B159,74,V45
B160,74,V9
B161,75,V45
B162,75,V108
B163,76,V91
B164,77,V119
B165,78,V45
B166,78,V87
B167,78,V93
B168,79,V118
B169,80,V36
B170,81,V45
B171,81,V109
B172,82,V40
B173,82,V45
B174,83,V45
B175,83,V93
B176,83,V111
B177,83,V123
B178,84,V45
B179,84,V119
B180,85,V25
B181,85,V56
B182,85,V89
